100.0	15722.733114496943
96.0	15659.877202387199
92.0	15596.7682650955
88.0	15533.382116149161
84.0	15469.727014148764
80.0	15405.825464326772
76.0	15341.671767323754
72.0	15277.275655512305
68.0	15212.670502442317
64.0	15147.883657415872
60.0	15082.934356489142
56.0	15017.89360986179
52.0	14952.827351553968
48.0	14887.837717284961
44.0	14823.067042322222
40.0	14758.713803722438
36.0	14695.04184518385
32.0	14632.448409065886
28.0	14571.461653758222
24.0	14512.910892726775
4.0	14468.256458016785
20.0	14458.099135832428
16.0	14409.484946124896
12.0	14372.62258687791
8.0	14364.448552007652
