P.J. Hairston	CHO	99615.97978938906	1148.9707108908135	0.011534
Ray McCallum	SAC	80115.19847912763	957.296506627096	0.011949
Dahntay Jones	MEM	50065.19236634444	913.9400866476178	0.018255
Elijah Millsap	UTA	49374.434400277576	1139.0188271800034	0.023069
Marcus Georges-Hunt	MIA	47393.008173381226	1184.8252043345308	0.025
Tony Wroten	MEM	44980.753348035054	1124.5188337008765	0.025
Quinn Cook	DAL	37480.06795644078	1198.2002924994551	0.031969
Yogi Ferrell	BRK	36857.02830579591	1178.2823379079894	0.031969
Troy Williams	MEM	36554.82901853957	1168.6213288936913	0.031969
D.J. Stephens	MIL	34005.43325587268	1190.190163955544	0.035
Jordan Crawford	ATL	24774.932416977914	1531.6110969499916	0.061821
D.J. Kennedy	CLE	23723.258610795547	1186.1629305397773	0.05
Jarrod Uthoff	DAL	23631.536456710375	1181.576822835519	0.05
Axel Toupane	DEN	22872.497417996747	1176.7671196585147	0.051449
Cliff Alexander	POR	22763.18149088211	1171.1429245243937	0.051449
Reggie Williams	GSW	22184.341364063977	1109.217068203199	0.05
Phil Pressey	BOS	22006.779329631896	770.2372765371164	0.035
Dionte Christmas	PHO	21861.67717939976	1093.0838589699881	0.05
Anthony Brown	LAL	20631.20336733309	1061.4547820459202	0.051449
Justin Harper	ORL	20056.052996461574	1156.6726884119319	0.057672
Julyan Stone	DEN	19723.97989097632	986.198994548816	0.05
Gary Neal	SAS	19511.580116096335	1408.5995033213426	0.072193
Nate Wolters	MIL	19460.409120478755	973.0204560239378	0.05
Okaro White	MIA	19077.733521283564	1219.7921258838285	0.063938
Shawn Long	PHI	18596.81237435914	1208.792804333344	0.065
Pierre Jackson	DAL	18422.39913365528	1177.891355807651	0.063938
David Nwaba	LAL	18396.499237832326	1176.2353682685232	0.063938
Chasson Randle	PHI	17506.025144526844	1119.3002356907573	0.063938
Jordan Farmar	LAL	15878.431606669395	1054.0738037771412	0.066384
Keith Benson	GSW	15782.458772501284	1183.6844079375962	0.075
Mike Tobey	CHO	15686.237736254014	1176.467830219051	0.075
Jarrett Jack	POR	15048.155440078743	1373.505339637747	0.091274
Henry Sims	NOH	14548.997171936257	1091.1747878952192	0.075
Wayne Selden	NOP	14309.214296727163	1189.367583129665	0.083119
Chris Wright	GSW	11235.48323801614	1123.548323801614	0.1
Lamar Patterson	ATL	9856.277915092149	1014.191284907152	0.102898
Toney Douglas	NYK	9753.79016620532	981.1630141890917	0.100593
Hollis Thompson	PHI	9254.47430275305	1105.8541523331728	0.119494
Archie Goodwin	PHO	8846.01684604187	1057.0459370009273	0.119494
Omri Casspi	SAC	8691.907639519464	1203.0817040164472	0.138414
Briante Weber	MEM	8606.927554999396	1107.0488429066872	0.128623
Manny Harris	CLE	8139.264452342085	972.5932664681651	0.119494
Jarnell Stokes	MEM	6865.6424374436665	1029.84636561655	0.15
Robbie Hummel	MIN	6283.815633577519	942.5723450366279	0.15
Jarell Eddie	ATL	6149.697190298448	1076.1970083022284	0.175
Johnny O'Bryant	MIL	6078.253849952792	981.5346664519266	0.161483
Nicolas Laprovittola	SAS	5569.503145259623	1175.1373161340541	0.210995
Andrew Bogut	MIL	5511.882783410409	1335.1102953288027	0.242224
Andrea Bargnani	TOR	5471.454169672018	1770.5570978516955	0.323599
Larry Sanders	MIL	4830.478836932109	1003.3967249652114	0.207722
Ben Bentil	DAL	4777.336348384001	1194.3340870960003	0.25
Derrick Williams	MIN	4745.07369850646	1271.817358336988	0.268029
Yi Jianlian	MIL	4106.790504305694	1026.6976260764236	0.25
Elliot Williams	POR	3975.3386473798446	993.8346618449611	0.25
Norris Cole	MIA	3802.4597939623604	942.9758067645197	0.247991
Gal Mekel	DAL	3381.347839029818	1067.6943936520552	0.31576
Bobby Brown	SAC	3241.8106669185327	822.63863302658	0.253759
Miroslav Raduljica	MIL	3167.0919824167613	950.1275947250283	0.3
Caron Butler	MIA	2888.4962693943176	1493.988040456129	0.51722
Aaron Harrison	CHO	2819.815095168833	1059.0633336284152	0.375579
Carlos Delfino	DET	2543.9836846417184	1653.5893950171169	0.65
Rodney McGruder	MIA	2485.678489329189	1350.8941742742236	0.543471
Ryan Kelly	LAL	2411.557327838087	691.5984682640459	0.286785
Arinze Onuaku	NOP	2397.9718353159565	1055.2946493421755	0.440078
R.J. Hunter	BOS	2356.7210109888215	1001.6064296702491	0.425
Davis Bertans	SAS	2181.4555762995465	1185.5578435070909	0.543471
Danuel House	WAS	2178.188550714546	1183.7823098453853	0.543471
Chinanu Onuaku	HOU	2134.204631290324	1159.8783251719838	0.543471
Diamond Stone	LAC	2118.032916451789	1151.0894671369701	0.543471
Donatas Motiejunas	HOU	2106.9784357713693	1215.1450313918072	0.576724
Kyle Wiltjer	HOU	2106.0645287145803	1144.5849954850416	0.543471
Bryn Forbes	SAS	2102.135931608937	1142.4499168874406	0.543471
Jonathan Gibson	DAL	2099.439773108534	1140.9846329310683	0.543471
Tim Quarterman	POR	2066.4926255439514	1123.0788136969968	0.543471
Patrick McCaw	GSW	2065.9810593780167	1122.8007923212301	0.543471
Cheick Diallo	NOP	2028.82449497971	1102.607277111118	0.543471
Dorian Finney-Smith	DAL	2021.947274711189	1098.8697073345647	0.543471
Jose Calderon	TOR	2019.3347455515768	792.5444622645917	0.392478
Michael Beasley	MIA	2004.8319118790637	1559.3121499255626	0.777777
Semaj Christon	OKC	1998.4747547131765	1086.1130734187248	0.543471
Derrick Jones	PHO	1987.6672554493662	1080.2395109863226	0.543471
